,image_name,gender,Eyes,Nose,Lips,Eyebrows,HairFront,HairBack,HaironShoulder,Eyewear,FaceShape
39,WEPsznZ3SkSd6pua.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsThinSmile_Thin,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontDhanesh_Short,,,None,MaleFaceShapeOblong
40,WFkfUmSBJ_s9ciaL.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAnasAhmed_Medium,,,None,MaleFaceShapeDiamondLong
41,WERDhY0jkIods8-3.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontTarun_Medium,,,None,MaleFaceShapeOval
42,WEEdJ7EWpmSm45I-.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsThinSmile_Thin,MaleEyebrowsStraight_Thin,MaleHairFrontJaySoni_Medium,,,MaleEyewearWDark,MaleFaceShapeOval
43,WF-Nap3KYvX47qtM.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontDhanesh_Short,,,None,MaleFaceShapeOval
44,WFJEUtFH7Dq57Otc.png,male,MaleEyesFlat_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontPankajDS_Short,,,None,MaleFaceShapeTriangleLong
45,WEjnsTKsLyBDYcrt.png,male,MaleEyesSmallEye2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontAniketKanawade_Short,,,None,MaleFaceShapeDiamond
46,WFYljmxSUDNMNf7x.png,male,,,,,,,,,
47,WFAcImxSUNaYlbj7.png,male,MaleEyesAlmond2_Patch,MaleNoseAverage,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontNishkarshModi_Medium,,,None,MaleFaceShapeOblong
48,WFZEK3Z3SmRKLjMy.png,male,MaleEyesHooded_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsSoftCurved_Medium,MaleHairFrontSujeet_Short,,,MaleEyewearAviator7,MaleFaceShapeOval
49,WE_yjtFH7Dq57Jxp.png,male,MaleEyesAlmond2_Patch,MaleNoseWide,MaleLipsAverage_Medium,MaleEyebrowsCurvedEnds_Thick,MaleHairFrontShubhsm_Medium,,,None,MaleFaceShapeTriangle1
